Latitud,Longitud,Rendimiento (kg/ha),Zona
-27.4246157409317,-51.1917405278316,1500.0,Área 02
-27.4246608809189,-51.191740605803,1501.0,Área 02
-27.4247060209058,-51.1917406837745,1502.0,Área 02
-27.4247511608924,-51.1917407617463,1503.0,Área 02
-27.4248634277356,-51.1916397819748,1504.0,Área 02
-27.4248182877494,-51.1916397040438,1505.0,Área 02
-27.4247731477629,-51.1916396261129,1506.0,Área 02
-27.4247280077762,-51.1916395481822,1507.0,Área 02
-27.4246828677891,-51.1916394702517,1508.0,Área 02
-27.4246377278018,-51.1916393923214,1509.0,Área 02
-27.4245925878142,-51.1916393143912,1510.0,Área 02
-27.4245708791015,-51.1915381034851,1511.0,Área 02
-27.4246160190895,-51.191538181374,1512.0,Área 02
-27.4246611590773,-51.1915382592631,1513.0,Área 02
-27.4247062990647,-51.1915383371524,1514.0,Área 02
-27.4247514390519,-51.1915384150419,1515.0,Área 02
-27.4247965790387,-51.1915384929315,1516.0,Área 02
-27.4248417190253,-51.1915385708213,1517.0,Área 02
-27.4248868590116,-51.1915386487113,1518.0,Área 02
-27.4249319989976,-51.1915387266015,1519.0,Área 02
-27.4249771389833,-51.1915388044919,1520.0,Área 02
-27.4250894056786,-51.1914378243112,1521.0,Área 02
-27.4250442656934,-51.1914377464615,1522.0,Área 02
-27.4249991257078,-51.191437668612,1523.0,Área 02
-27.424953985722,-51.1914375907627,1524.0,Área 02
-27.4249088457359,-51.1914375129135,1525.0,Área 02
-27.4248637057495,-51.1914374350646,1526.0,Área 02
-27.4248185657628,-51.1914373572158,1527.0,Área 02
-27.4247734257758,-51.1914372793672,1528.0,Área 02
-27.4247282857885,-51.1914372015188,1529.0,Área 02
-27.4246831458009,-51.1914371236706,1530.0,Área 02
-27.424638005813,-51.1914370458225,1531.0,Área 02
-27.4245928658249,-51.1914369679747,1532.0,Área 02
-27.4245477258364,-51.191436890127,1533.0,Área 02
-27.4245260169762,-51.1913356793005,1534.0,Área 02
-27.4245711569651,-51.1913357571069,1535.0,Área 02
-27.4246162969537,-51.1913358349136,1536.0,Área 02
-27.4246614369419,-51.1913359127204,2500.0,Área 02
-27.4247065769299,-51.1913359905274,2501.0,Área 02
-27.4247517169176,-51.1913360683346,2502.0,Área 02
-27.424796856905,-51.1913361461419,2503.0,Área 02
-27.4248419968921,-51.1913362239494,2504.0,Área 02
-27.424887136879,-51.1913363017572,2505.0,Área 02
-27.4249322768655,-51.1913363795651,2506.0,Área 02
-27.4249774168517,-51.1913364573732,2507.0,Área 02
-27.4250225568377,-51.1913365351814,2508.0,Área 02
-27.4250676968233,-51.1913366129899,2509.0,Área 02
-27.4251128368086,-51.1913366907985,2510.0,Área 02
-27.4251579767937,-51.1913367686073,2511.0,Área 02
-27.4252702433417,-51.191235788058,2512.0,Área 02
-27.4252251033571,-51.1912357102898,2513.0,Área 02
-27.4251799633722,-51.1912356325219,2514.0,Área 02
-27.425134823387,-51.1912355547541,2515.0,Área 02
-27.4250896834015,-51.1912354769866,2516.0,Área 02
-27.4250445434157,-51.1912353992192,2517.0,Área 02
-27.4249994034297,-51.191235321452,2518.0,Área 02
-27.4249542634433,-51.1912352436849,2519.0,Área 02
-27.4249091234567,-51.1912351659181,2520.0,Área 02
