Longitud,Latitud,Rendimiento (kg/ha),Zona
-51.1917811518508,-27.424705242999504,3124.18,Área 02
-51.191781073862785,-27.424660103012688,2965.69,Área 02
-51.19178099587494,-27.42461496302557,3162.43,Área 02
-51.19165997769604,-27.42484082992499,3381.52,Área 02
-51.19165989975684,-27.42479568993873,2942.47,Área 02
-51.19165982181784,-27.42475054995218,2942.73,Área 02
-51.19165974387901,-27.424705409965327,3396.32,Área 02
-51.191659665940364,-27.424660269978194,3193.63,Área 02
-51.1916595880019,-27.424615129990762,2884.65,Área 02
-51.19153880324565,-27.42497641674404,3137.91,Área 02
-51.19153872535528,-27.424931276758336,2886.67,Área 02
-51.191538647465094,-27.42488613677234,2886.35,Área 02
-51.19153856957509,-27.42484099678605,3063.52,Área 02
-51.19153849168527,-27.424795856799467,2524.96,Área 02
-51.191538413795634,-27.4247507168126,2572.31,Área 02
-51.19153833590617,-27.42470557682543,2863.22,Área 02
-51.1915382580169,-27.424660436837975,2750.83,Área 02
-51.19153818012781,-27.424615296850217,3082.86,Área 02
-51.19153810223889,-27.424570156862174,2777.54,Área 02
-51.191417628499615,-27.42511200345664,2651.72,Área 02
-51.19141755065808,-27.425066863471496,3371.46,Área 02
-51.19141747281672,-27.425021723486058,2948.86,Área 02
-51.191417394975545,-27.424976583500325,3022.44,Área 02
-51.191417317134544,-27.424931443514307,2649.62,Área 02
-51.191417239293735,-27.42488630352799,2869.97,Área 02
-51.1914171614531,-27.424841163541377,3034.05,Área 02
-51.19141708361265,-27.424796023554478,2718.82,Área 02
-51.19141700577238,-27.424750883567285,3100.74,Área 02
-51.19141692793229,-27.4247057435798,2856.91,Área 02
-51.19141685009239,-27.42466060359202,2934.4,Área 02
-51.191416772252666,-27.42461546360395,2857.15,Área 02
-51.191416694413114,-27.42457032361558,3470.9,Área 02
-51.191416616573754,-27.424525183626926,3004.71,Área 02
-51.19129637566524,-27.42520245007821,2743.91,Área 02
-51.191296297872704,-27.42515731009333,3214.22,Área 02
-51.19129622008036,-27.425112170108157,2703.63,Área 02
-51.19129614228819,-27.42506703012269,3061.31,Área 02
-51.1912960644962,-27.425021890136936,2519.43,Área 02
-51.19129598670439,-27.424976750150886,2677.55,Área 02
-51.19129590891277,-27.424931610164542,3059.07,Área 02
-51.19129583112132,-27.424886470177903,3194.72,Área 02
-51.19129575333007,-27.424841330190976,3053.2,Área 02
-51.19129567553898,-27.424796190203757,2981.7,Área 02
-51.19129559774808,-27.42475105021624,2935.59,Área 02
-51.19129551995737,-27.42470591022844,2641.48,Área 02
-51.191295442166826,-27.424660770240337,2831.41,Área 02
-51.19129536437648,-27.424615630251946,2896.46,Área 02
-51.191295286586296,-27.42457049026326,3276.15,Área 02
-51.191295208796305,-27.42452535027429,3098.03,Área 02
-51.191175200376755,-27.42533803657847,2571.62,Área 02
-51.191175122633055,-27.425292896594147,3093.65,Área 02
-51.19117504488953,-27.425247756609537,2916.61,Área 02
-51.19117496714619,-27.425202616624635,2843.9,Área 02
-51.19117488940303,-27.425157476639434,3166.31,Área 02
-51.19117481166005,-27.425112336653935,3271.39,Área 02
-51.19117473391725,-27.425067196668152,3246.71,Área 02
-51.19117465617463,-27.425022056682078,2804.34,Área 02
-51.191174578432204,-27.42497691669571,2937.09,Área 02
-51.19117450068995,-27.424931776709048,3097.46,Área 02
