Latitud,Longitud,P(ppm),K(ppm),N(ppm),S(ppm),pH,Compactacion(MPa)
-27.4246157409317,-51.1917405278316,14.7,112.3,26.2,11.7,5.27,2.78
-27.4246608809189,-51.191740605803,12.8,102.0,25.3,15.1,5.24,2.33
-27.4247060209058,-51.1917406837745,15.2,84.4,21.1,13.3,5.39,2.42
-27.4247511608924,-51.1917407617463,17.8,110.2,21.9,16.9,5.15,2.87
-27.4248634277356,-51.1916397819748,12.6,134.9,24.7,13.9,5.48,2.31
-27.4248182877494,-51.1916397040438,12.6,91.8,21.7,11.7,5.42,2.84
-27.4247731477629,-51.1916396261129,18.0,134.9,21.2,11.0,5.39,2.59
-27.4247280077762,-51.1916395481822,15.6,171.3,29.1,15.4,5.51,2.71
-27.4246828677891,-51.1916394702517,11.9,130.7,19.9,14.7,5.48,2.34
-27.4246377278018,-51.1916393923214,15.0,97.3,24.8,13.6,5.51,2.55
-27.4245925878142,-51.1916393143912,12.0,133.2,27.5,3.9,5.35,2.86
-27.4245708791015,-51.1915381034851,12.0,144.4,25.5,14.1,5.36,2.64
-27.4246160190895,-51.191538181374,14.1,151.4,23.2,10.1,5.37,2.42
-27.4246611590773,-51.1915382592631,7.6,129.1,33.0,11.5,5.55,2.99
-27.4247062990647,-51.1915383371524,8.2,137.5,29.5,8.8,5.49,2.35
-27.4247514390519,-51.1915384150419,11.7,142.5,34.4,17.2,5.35,2.62
-27.4247965790387,-51.1915384929315,10.4,137.7,22.7,11.9,5.25,2.57
-27.4248417190253,-51.1915385708213,14.4,132.1,26.0,13.9,5.36,2.74
-27.4248868590116,-51.1915386487113,10.7,113.0,30.2,14.7,5.39,2.5
-27.4249319989976,-51.1915387266015,9.2,145.0,34.9,11.3,5.34,2.43
-27.4249771389833,-51.1915388044919,17.9,115.2,30.3,10.0,5.3,2.86
-27.4250894056786,-51.1914378243112,12.8,178.1,23.3,11.8,5.25,2.77
-27.4250442656934,-51.1914377464615,13.7,113.3,25.4,13.2,5.4,2.07
-27.4249991257078,-51.191437668612,9.2,142.2,25.2,16.4,5.37,2.41
-27.424953985722,-51.1914375907627,11.9,100.7,25.9,11.6,5.28,2.62
-27.4249088457359,-51.1914375129135,13.8,116.8,23.8,10.8,5.31,2.77
-27.4248637057495,-51.1914374350646,10.1,114.6,26.2,12.0,5.39,2.31
-27.4248185657628,-51.1914373572158,14.7,99.2,10.3,14.8,5.41,2.78
-27.4247734257758,-51.1914372793672,11.7,115.1,20.5,11.3,5.45,2.33
-27.4247282857885,-51.1914372015188,12.7,133.9,29.0,12.6,5.4,2.78
-27.4246831458009,-51.1914371236706,11.8,121.8,35.5,10.1,5.46,2.84
-27.424638005813,-51.1914370458225,19.1,150.7,26.6,12.1,5.72,2.64
-27.4245928658249,-51.1914369679747,13.5,108.3,23.5,11.0,5.38,2.28
-27.4245477258364,-51.191436890127,10.4,140.9,19.6,13.0,5.47,2.64
-27.4245260169762,-51.1913356793005,16.1,115.2,21.6,12.8,5.49,2.68
-27.4245711569651,-51.1913357571069,10.0,149.7,25.2,19.1,5.56,2.48
-27.4246162969537,-51.1913358349136,14.3,142.9,27.0,10.6,5.31,2.64
-27.4246614369419,-51.1913359127204,18.2,225.7,37.4,15.1,5.69,2.16
-27.4247065769299,-51.1913359905274,20.1,202.3,41.0,21.7,5.87,2.05
-27.4247517169176,-51.1913360683346,24.7,232.2,43.8,22.4,5.86,1.85
-27.424796856905,-51.1913361461419,26.3,172.4,46.0,21.3,5.89,1.79
-27.4248419968921,-51.1913362239494,24.6,214.7,42.2,21.2,5.82,2.24
-27.424887136879,-51.1913363017572,23.8,208.6,39.0,25.9,6.02,2.08
-27.4249322768655,-51.1913363795651,23.2,222.6,34.0,22.8,5.78,2.03
-27.4249774168517,-51.1913364573732,19.7,204.5,39.7,24.0,5.8,2.25
-27.4250225568377,-51.1913365351814,22.0,186.4,45.3,19.9,5.8,2.28
-27.4250676968233,-51.1913366129899,22.8,184.3,42.3,23.6,5.78,2.33
-27.4251128368086,-51.1913366907985,27.3,206.0,43.7,19.1,5.96,2.23
-27.4251579767937,-51.1913367686073,25.2,201.1,45.3,23.3,5.98,2.01
-27.4252702433417,-51.191235788058,18.9,223.5,47.5,20.8,5.83,2.36
-27.4252251033571,-51.1912357102898,25.2,225.5,44.3,24.6,5.99,2.06
-27.4251799633722,-51.1912356325219,23.1,207.5,43.4,18.5,5.95,2.47
-27.425134823387,-51.1912355547541,22.2,207.1,28.6,20.5,5.86,1.69
-27.4250896834015,-51.1912354769866,26.1,228.0,44.2,17.1,5.87,1.87
-27.4250445434157,-51.1912353992192,27.3,201.9,50.7,20.5,5.83,2.11
-27.4249994034297,-51.191235321452,27.0,202.8,34.5,19.5,5.96,2.05
-27.4249542634433,-51.1912352436849,21.7,180.5,46.6,22.9,5.72,2.14
-27.4249091234567,-51.1912351659181,23.3,224.6,47.1,18.2,5.83,1.91
-27.4248639834697,-51.1912350881514,25.3,205.3,43.0,16.2,5.76,2.22
-27.4248188434825,-51.1912350103849,27.2,229.9,33.9,19.7,5.79,2.23
-27.424773703495,-51.1912349326186,22.9,183.1,34.3,19.5,5.97,2.18
-27.4247285635071,-51.1912348548525,23.8,197.5,42.3,21.8,5.89,2.05
-27.424683423519,-51.1912347770866,21.0,226.4,49.2,21.0,5.64,2.21
